date,revenue,cost_of_goods_sold,operating_expenses,net_income,category
2025-01-31,78134.71,36247.7,22895.52,18991.49,HVAC services
2025-02-28,58634.15,25968.75,17865.44,14799.96,HVAC services
2025-03-31,69669.24,30206.14,19633.54,19829.56,HVAC services
2025-04-30,80332.26,36641.99,18935.34,24754.93,HVAC services
2025-05-31,81507.0,33793.53,23630.23,24083.24,HVAC services
2025-06-30,140112.08,57878.74,33619.65,48613.69,HVAC services
2025-07-31,32709.55,14587.76,9989.96,8131.83,HVAC services
2025-08-31,66105.53,28392.56,15629.68,22083.29,HVAC services
2025-09-30,95345.67,40480.18,24388.06,30477.43,HVAC services
2025-10-31,186222.47,73987.33,57161.53,55073.61,HVAC services
2025-11-30,141232.28,61579.52,43225.96,36426.8,HVAC services
2025-12-31,81426.03,36135.45,20483.6,24806.98,HVAC services
